run_id,filepath,lines_parsed,parse_errors,birth,civil_war,death_battle,death_starvation,democratic_override,faction_formed,faction_merge,great_migration,holy_war,peace_incident,plague,promised_land,prophet,religion_founded,reverse_assimilation,schism,tech_civic,tech_discovered,tech_industrial,tech_martial,temple_built,treaty_broken,treaty_formed,war_declared,war_ends,world_event,war_resolution_rate,war_duration_mean,first_war_tick,first_tech_tick,first_writing_tick,disruptions_total,deaths_total,battle_death_fraction,dominant_era,era_shift,era_the_age_of_conflict,era_the_age_of_enlightenment,era_the_age_of_iron,era_the_age_of_ruin,era_the_age_of_sickness,era_the_crimson_years,era_the_golden_age,era_the_great_famine,era_the_long_peace
20260227_104810,./logs\run_20260227_104810.txt,1348577,0,2455,8,2860,1002,0,108,849,26,12060,0,19,48,34,175,0,962,1635,5626,3071,914,0,349,3350,169,696,231,4.118,0.3,108,18,18,135,3862,0.741,The Age of Iron,490,34,52,161,0,4,15,0,3,101
20260227_110118,./logs\run_20260227_110118.txt,1528494,0,2459,15,2479,2415,0,61,922,23,14788,0,13,13,55,207,0,1076,1911,6210,3201,1094,0,345,2762,182,558,215,3.066,0.3,129,18,18,119,4894,0.507,The Age of Iron,451,51,52,155,0,4,24,0,14,59
20260227_111745,./logs\run_20260227_111745.txt,1329870,0,2462,10,2890,2203,0,91,716,30,11811,0,16,21,29,206,0,943,1908,6008,3075,1021,0,433,3111,214,671,224,3.136,0.5,87,18,23,106,5093,0.567,The Age of Iron,423,48,32,189,0,5,17,0,0,45
20260227_112851,./logs\run_20260227_112851.txt,1208240,0,2452,17,2606,2134,0,72,746,35,11975,0,17,12,47,165,0,881,1527,5836,3167,1137,0,418,2851,230,606,219,2.635,0.5,115,18,18,128,4740,0.55,The Age of Iron,427,56,62,159,0,0,12,0,1,54
20260227_114029,./logs\run_20260227_114029.txt,1288093,0,2458,5,2745,2576,0,126,902,15,10842,0,24,29,15,210,0,1022,1795,6259,3253,1202,0,415,3110,159,496,217,3.119,0.4,124,18,18,88,5321,0.516,The Age of Iron,429,33,78,152,0,0,16,0,3,48
20260227_115423,./logs\run_20260227_115423.txt,1567659,0,2461,5,2430,2875,0,100,792,19,14176,0,15,31,21,218,0,905,1707,5426,2903,812,0,285,3152,142,438,235,3.085,0.6,106,18,23,91,5305,0.458,The Age of Iron,451,19,64,124,0,8,19,2,5,106
20260227_120901,./logs\run_20260227_120901.txt,1339866,0,2473,5,2841,904,0,125,960,20,11495,0,34,37,84,204,0,960,1721,6323,3382,1215,0,463,3022,175,580,221,3.314,0.7,107,18,18,180,3745,0.759,The Age of Iron,469,51,50,181,0,2,16,0,3,76
20260227_122153,./logs\run_20260227_122153.txt,1386178,0,2458,32,2544,1593,0,98,917,21,15468,0,20,28,7,220,0,1019,1803,6023,3082,1125,0,325,2935,178,511,209,2.871,0.4,99,18,18,108,4137,0.615,The Age of Iron,429,63,54,108,0,3,29,0,7,71
20260227_123559,./logs\run_20260227_123559.txt,1380278,0,2458,0,2697,3427,0,99,895,18,11127,0,57,46,17,200,0,1012,1843,6275,3222,1206,0,349,3172,180,535,244,2.972,0.4,90,18,18,138,6124,0.44,The Age of Iron,396,10,66,177,2,0,16,0,13,41
20260227_124855,./logs\run_20260227_124855.txt,1346570,0,2495,3,2521,2110,0,111,744,35,9868,0,0,54,20,231,0,887,1819,6012,3017,1176,0,386,3151,196,498,212,2.541,0.2,115,18,28,112,4631,0.544,The Age of Iron,465,41,68,180,0,0,20,0,0,68
